"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 04, 2021","4,735.796","4,735.796","4,735.796","4,735.796","-","-0.29%"
"Aug 03, 2021","4,749.471","4,749.471","4,749.471","4,749.471","-","-0.28%"
"Aug 02, 2021","4,762.636","4,762.636","4,762.636","4,762.636","-","0.96%"
"Jul 30, 2021","4,717.353","4,717.353","4,717.353","4,717.353","-","-0.54%"
"Jul 29, 2021","4,743.008","4,743.008","4,743.008","4,743.008","-","1.49%"
"Jul 28, 2021","4,673.293","4,673.293","4,673.293","4,673.293","-","0.80%"
"Jul 27, 2021","4,636.015","4,636.015","4,636.015","4,636.015","-","-1.08%"
"Jul 26, 2021","4,686.707","4,686.707","4,686.707","4,686.707","-","0.41%"
"Jul 23, 2021","4,667.734","4,667.734","4,667.734","4,667.734","-","1.22%"
"Jul 22, 2021","4,611.521","4,611.521","4,611.521","4,611.521","-","0.26%"
"Jul 21, 2021","4,599.412","4,599.412","4,599.412","4,599.412","-","1.53%"
"Jul 20, 2021","4,530.007","4,530.007","4,530.007","4,530.007","-","1.18%"
"Jul 19, 2021","4,477.039","4,477.039","4,477.039","4,477.039","-","-2.03%"
"Jul 16, 2021","4,569.945","4,569.945","4,569.945","4,569.945","-","-1.36%"
"Jul 15, 2021","4,632.943","4,632.943","4,632.943","4,632.943","-","-0.89%"
"Jul 14, 2021","4,674.639","4,674.639","4,674.639","4,674.639","-","-0.09%"
"Jul 13, 2021","4,678.933","4,678.933","4,678.933","4,678.933","-","-0.48%"
"Jul 12, 2021","4,701.523","4,701.523","4,701.523","4,701.523","-","0.82%"
"Jul 09, 2021","4,663.471","4,663.471","4,663.471","4,663.471","-","1.98%"
"Jul 08, 2021","4,572.741","4,572.741","4,572.741","4,572.741","-","-1.56%"
"Jul 07, 2021","4,645.220","4,645.220","4,645.220","4,645.220","-","-0.20%"
"Jul 06, 2021","4,654.722","4,654.722","4,654.722","4,654.722","-","-1.32%"
"Jul 05, 2021","4,716.968","4,716.968","4,716.968","4,716.968","-","0.01%"
"Jul 02, 2021","4,716.518","4,716.518","4,716.518","4,716.518","-","-0.02%"
"Jul 01, 2021","4,717.538","4,717.538","4,717.538","4,717.538","-","0.33%"
"Jun 30, 2021","4,702.240","4,702.240","4,702.240","4,702.240","-","-0.61%"
"Jun 29, 2021","4,730.891","4,730.891","4,730.891","4,730.891","-","0.06%"
"Jun 28, 2021","4,728.037","4,728.037","4,728.037","4,728.037","-","-1.00%"
"Jun 25, 2021","4,775.578","4,775.578","4,775.578","4,775.578","-","0.90%"
"Jun 24, 2021","4,732.837","4,732.837","4,732.837","4,732.837","-","0.91%"
"Jun 23, 2021","4,690.250","4,690.250","4,690.250","4,690.250","-","0.04%"
"Jun 22, 2021","4,688.332","4,688.332","4,688.332","4,688.332","-","0.07%"
"Jun 21, 2021","4,685.167","4,685.167","4,685.167","4,685.167","-","1.41%"
"Jun 18, 2021","4,620.168","4,620.168","4,620.168","4,620.168","-","-1.62%"
"Jun 17, 2021","4,696.015","4,696.015","4,696.015","4,696.015","-","-0.62%"
"Jun 16, 2021","4,725.136","4,725.136","4,725.136","4,725.136","-","0.06%"
"Jun 15, 2021","4,722.520","4,722.520","4,722.520","4,722.520","-","-0.12%"
"Jun 14, 2021","4,728.212","4,728.212","4,728.212","4,728.212","-","-0.22%"
"Jun 11, 2021","4,738.479","4,738.479","4,738.479","4,738.479","-","0.56%"
"Jun 10, 2021","4,712.299","4,712.299","4,712.299","4,712.299","-","-0.33%"
"Jun 09, 2021","4,727.754","4,727.754","4,727.754","4,727.754","-","-0.37%"
"Jun 08, 2021","4,745.316","4,745.316","4,745.316","4,745.316","-","0.10%"
"Jun 07, 2021","4,740.384","4,740.384","4,740.384","4,740.384","-","0.68%"
"Jun 04, 2021","4,708.150","4,708.150","4,708.150","4,708.150","-","0.50%"
"Jun 03, 2021","4,684.527","4,684.527","4,684.527","4,684.527","-","-1.17%"
"Jun 02, 2021","4,739.977","4,739.977","4,739.977","4,739.977","-","-0.13%"
"Jun 01, 2021","4,746.208","4,746.208","4,746.208","4,746.208","-","0.80%"
"May 31, 2021","4,708.321","4,708.321","4,708.321","4,708.321","-","0.09%"
"May 28, 2021","4,704.288","4,704.288","4,704.288","4,704.288","-","0.14%"
"May 27, 2021","4,697.664","4,697.664","4,697.664","4,697.664","-","0.54%"
"May 26, 2021","4,672.612","4,672.612","4,672.612","4,672.612","-","1.36%"
"May 25, 2021","4,609.692","4,609.692","4,609.692","4,609.692","-","0.96%"
"May 24, 2021","4,566.063","4,566.063","4,566.063","4,566.063","-","1.18%"
"May 21, 2021","4,512.598","4,512.598","4,512.598","4,512.598","-","0.38%"
"May 20, 2021","4,495.413","4,495.413","4,495.413","4,495.413","-","1.18%"
"May 19, 2021","4,442.870","4,442.870","4,442.870","4,442.870","-","-1.32%"
"May 18, 2021","4,502.138","4,502.138","4,502.138","4,502.138","-","0.39%"
"May 17, 2021","4,484.593","4,484.593","4,484.593","4,484.593","-","-0.03%"
"May 14, 2021","4,485.809","4,485.809","4,485.809","4,485.809","-","2.48%"
"May 13, 2021","4,377.234","4,377.234","4,377.234","4,377.234","-","-0.13%"
"May 12, 2021","4,383.028","4,383.028","4,383.028","4,383.028","-","-1.78%"
"May 11, 2021","4,462.576","4,462.576","4,462.576","4,462.576","-","-1.60%"
"May 10, 2021","4,535.264","4,535.264","4,535.264","4,535.264","-","-0.90%"
"May 07, 2021","4,576.456","4,576.456","4,576.456","4,576.456","-","1.53%"
"May 06, 2021","4,507.330","4,507.330","4,507.330","4,507.330","-","-0.12%"
"May 05, 2021","4,512.918","4,512.918","4,512.918","4,512.918","-","0.27%"
"May 04, 2021","4,500.925","4,500.925","4,500.925","4,500.925","-","-1.36%"
"May 03, 2021","4,563.186","4,563.186","4,563.186","4,563.186","-","0.11%"
"Apr 30, 2021","4,558.053","4,558.053","4,558.053","4,558.053","-","-0.38%"
"Apr 29, 2021","4,575.277","4,575.277","4,575.277","4,575.277","-","-0.08%"
"Apr 28, 2021","4,579.113","4,579.113","4,579.113","4,579.113","-","0.03%"
"Apr 27, 2021","4,577.738","4,577.738","4,577.738","4,577.738","-","-0.11%"
"Apr 26, 2021","4,582.875","4,582.875","4,582.875","4,582.875","-","0.29%"
"Apr 23, 2021","4,569.563","4,569.563","4,569.563","4,569.563","-","0.58%"
"Apr 22, 2021","4,543.155","4,543.155","4,543.155","4,543.155","-","0.20%"
"Apr 21, 2021","4,534.131","4,534.131","4,534.131","4,534.131","-","1.74%"
"Apr 20, 2021","4,456.431","4,456.431","4,456.431","4,456.431","-","-1.70%"
"Apr 19, 2021","4,533.288","4,533.288","4,533.288","4,533.288","-","-0.80%"
"Apr 16, 2021","4,569.795","4,569.795","4,569.795","4,569.795","-","0.89%"
"Apr 15, 2021","4,529.285","4,529.285","4,529.285","4,529.285","-","0.27%"
"Apr 14, 2021","4,517.156","4,517.156","4,517.156","4,517.156","-","0.38%"
"Apr 13, 2021","4,500.034","4,500.034","4,500.034","4,500.034","-","1.00%"
"Apr 12, 2021","4,455.593","4,455.593","4,455.593","4,455.593","-","0.47%"
"Apr 09, 2021","4,434.664","4,434.664","4,434.664","4,434.664","-","0.22%"
"Apr 08, 2021","4,424.745","4,424.745","4,424.745","4,424.745","-","0.70%"
"Apr 07, 2021","4,394.143","4,394.143","4,394.143","4,394.143","-","-0.57%"
"Apr 06, 2021","4,419.460","4,419.460","4,419.460","4,419.460","-","1.18%"
"Apr 05, 2021","4,368.130","4,368.130","4,368.130","4,368.130","-","1.06%"
"Apr 02, 2021","4,322.182","4,322.182","4,322.182","4,322.182","-","0.02%"
"Apr 01, 2021","4,321.224","4,321.224","4,321.224","4,321.224","-","0.55%"
"Mar 31, 2021","4,297.660","4,297.660","4,297.660","4,297.660","-","-0.00%"
"Mar 30, 2021","4,297.761","4,297.761","4,297.761","4,297.761","-","2.03%"
"Mar 29, 2021","4,212.117","4,212.117","4,212.117","4,212.117","-","-0.39%"
"Mar 26, 2021","4,228.801","4,228.801","4,228.801","4,228.801","-","0.56%"
"Mar 25, 2021","4,205.399","4,205.399","4,205.399","4,205.399","-","0.49%"
"Mar 24, 2021","4,184.723","4,184.723","4,184.723","4,184.723","-","-1.76%"
"Mar 23, 2021","4,259.598","4,259.598","4,259.598","4,259.598","-","-2.15%"
"Mar 22, 2021","4,353.265","4,353.265","4,353.265","4,353.265","-","0.45%"
"Mar 19, 2021","4,333.945","4,333.945","4,333.945","4,333.945","-","-1.21%"
"Mar 18, 2021","4,386.950","4,386.950","4,386.950","4,386.950","-","-0.48%"
"Mar 17, 2021","4,408.078","4,408.078","4,408.078","4,408.078","-","1.09%"
"Mar 16, 2021","4,360.756","4,360.756","4,360.756","4,360.756","-","-0.32%"
"Mar 15, 2021","4,374.814","4,374.814","4,374.814","4,374.814","-","0.86%"
"Mar 12, 2021","4,337.297","4,337.297","4,337.297","4,337.297","-","-0.06%"
"Mar 11, 2021","4,339.909","4,339.909","4,339.909","4,339.909","-","1.61%"
"Mar 10, 2021","4,270.936","4,270.936","4,270.936","4,270.936","-","0.89%"
"Mar 09, 2021","4,233.388","4,233.388","4,233.388","4,233.388","-","2.18%"
"Mar 08, 2021","4,142.898","4,142.898","4,142.898","4,142.898","-","0.49%"
"Mar 05, 2021","4,122.688","4,122.688","4,122.688","4,122.688","-","-1.12%"
"Mar 04, 2021","4,169.384","4,169.384","4,169.384","4,169.384","-","-1.78%"
"Mar 03, 2021","4,244.929","4,244.929","4,244.929","4,244.929","-","-0.11%"
"Mar 02, 2021","4,249.525","4,249.525","4,249.525","4,249.525","-","-0.30%"
"Mar 01, 2021","4,262.354","4,262.354","4,262.354","4,262.354","-","1.67%"
"Feb 26, 2021","4,192.496","4,192.496","4,192.496","4,192.496","-","-1.07%"
"Feb 25, 2021","4,237.808","4,237.808","4,237.808","4,237.808","-","-1.33%"
"Feb 24, 2021","4,295.066","4,295.066","4,295.066","4,295.066","-","0.94%"
"Feb 23, 2021","4,255.028","4,255.028","4,255.028","4,255.028","-","0.28%"
"Feb 22, 2021","4,243.244","4,243.244","4,243.244","4,243.244","-","-0.90%"
"Feb 19, 2021","4,281.653","4,281.653","4,281.653","4,281.653","-","1.00%"
"Feb 18, 2021","4,239.228","4,239.228","4,239.228","4,239.228","-","0.32%"
"Feb 17, 2021","4,225.868","4,225.868","4,225.868","4,225.868","-","-1.04%"
"Feb 16, 2021","4,270.396","4,270.396","4,270.396","4,270.396","-","0.25%"
"Feb 15, 2021","4,259.770","4,259.770","4,259.770","4,259.770","-","0.78%"
"Feb 12, 2021","4,226.644","4,226.644","4,226.644","4,226.644","-","0.02%"
"Feb 11, 2021","4,225.919","4,225.919","4,225.919","4,225.919","-","0.41%"
"Feb 10, 2021","4,208.493","4,208.493","4,208.493","4,208.493","-","-0.68%"
"Feb 09, 2021","4,237.176","4,237.176","4,237.176","4,237.176","-","0.31%"
"Feb 08, 2021","4,223.983","4,223.983","4,223.983","4,223.983","-","0.67%"
"Feb 05, 2021","4,195.874","4,195.874","4,195.874","4,195.874","-","1.64%"
"Feb 04, 2021","4,127.997","4,127.997","4,127.997","4,127.997","-","0.83%"
"Feb 03, 2021","4,094.093","4,094.093","4,094.093","4,094.093","-","0.27%"
"Feb 02, 2021","4,082.870","4,082.870","4,082.870","4,082.870","-","2.46%"
"Feb 01, 2021","3,984.863","3,984.863","3,984.863","3,984.863","-","1.08%"
"Jan 29, 2021","3,942.345","3,942.345","3,942.345","3,942.345","-","-2.01%"
"Jan 28, 2021","4,023.299","4,023.299","4,023.299","4,023.299","-","1.04%"
"Jan 27, 2021","3,981.998","3,981.998","3,981.998","3,981.998","-","-1.99%"
"Jan 26, 2021","4,062.793","4,062.793","4,062.793","4,062.793","-","0.45%"
"Jan 25, 2021","4,044.769","4,044.769","4,044.769","4,044.769","-","-0.92%"
"Jan 22, 2021","4,082.467","4,082.467","4,082.467","4,082.467","-","-0.31%"
"Jan 21, 2021","4,095.163","4,095.163","4,095.163","4,095.163","-","0.21%"
"Jan 20, 2021","4,086.423","4,086.423","4,086.423","4,086.423","-","1.60%"
"Jan 19, 2021","4,022.119","4,022.119","4,022.119","4,022.119","-","-0.19%"
"Jan 18, 2021","4,029.892","4,029.892","4,029.892","4,029.892","-","0.35%"
"Jan 15, 2021","4,015.802","4,015.802","4,015.802","4,015.802","-","-1.75%"
"Jan 14, 2021","4,087.438","4,087.438","4,087.438","4,087.438","-","-0.17%"
"Jan 13, 2021","4,094.300","4,094.300","4,094.300","4,094.300","-","-0.37%"
"Jan 12, 2021","4,109.349","4,109.349","4,109.349","4,109.349","-","0.61%"
"Jan 11, 2021","4,084.546","4,084.546","4,084.546","4,084.546","-","-1.86%"
"Jan 08, 2021","4,162.095","4,162.095","4,162.095","4,162.095","-","1.37%"
"Jan 07, 2021","4,105.692","4,105.692","4,105.692","4,105.692","-","1.77%"
"Jan 06, 2021","4,034.324","4,034.324","4,034.324","4,034.324","-","0.39%"
"Jan 05, 2021","4,018.613","4,018.613","4,018.613","4,018.613","-","-0.07%"
"Jan 04, 2021","4,021.458","4,021.458","4,021.458","4,021.458","-","-0.34%"
"Dec 31, 2020","4,035.056","4,035.056","4,035.056","4,035.056","-","-0.24%"
"Dec 30, 2020","4,044.660","4,044.660","4,044.660","4,044.660","-","0.86%"
"Dec 29, 2020","4,010.245","4,010.245","4,010.245","4,010.245","-","0.76%"
"Dec 28, 2020","3,980.138","3,980.138","3,980.138","3,980.138","-","0.80%"
"Dec 25, 2020","3,948.671","3,948.671","3,948.671","3,948.671","-","-0.00%"
"Dec 24, 2020","3,948.772","3,948.772","3,948.772","3,948.772","-","0.32%"
"Dec 23, 2020","3,936.336","3,936.336","3,936.336","3,936.336","-","0.75%"
"Dec 22, 2020","3,907.157","3,907.157","3,907.157","3,907.157","-","-0.24%"
"Dec 21, 2020","3,916.522","3,916.522","3,916.522","3,916.522","-","-1.92%"
