Model,Predition,%Error,,,
A. Lange & Söhne 140.029,Next 30D,6.929387534,,,
A. Lange & Söhne 140.029,Next 30D,6.882407602,,,
A. Lange & Söhne 140.029,Next 30D,6.901317098,,,
A. Lange & Söhne 140.029,Next 30D,6.930994991,,,
A. Lange & Söhne 140.029,Next 30D,6.950616809,,,
A. Lange & Söhne 140.029,Next 30D,6.95190173,,,
A. Lange & Söhne 140.029,Next 30D,6.924142731,,,
A. Lange & Söhne 140.029,Next 30D,6.86452317,,,
A. Lange & Söhne 140.029,Next 30D,6.780909272,,,
A. Lange & Söhne 140.029,Next 30D,6.761884864,,,
A. Lange & Söhne 140.029,Next 30D,6.755887259,,,
A. Lange & Söhne 140.029,Next 30D,6.739841414,,,
A. Lange & Söhne 140.029,Next 30D,6.70450608,,,
A. Lange & Söhne 140.029,Next 30D,6.648725613,,,
A. Lange & Söhne 140.029,Next 30D,6.573957301,,,
A. Lange & Söhne 140.029,Next 30D,6.483507465,,,
A. Lange & Söhne 140.029,Next 30D,6.460800661,,,
A. Lange & Söhne 140.029,Next 30D,6.454189977,,,
A. Lange & Söhne 140.029,Next 30D,6.588147313,,,
A. Lange & Söhne 140.029,Next 30D,6.558309509,,,
A. Lange & Söhne 140.029,Next 30D,6.504285817,,,
A. Lange & Söhne 140.029,Next 30D,6.225042806,,,
A. Lange & Söhne 140.029,Next 30D,5.818919867,,,
A. Lange & Söhne 140.029,Next 30D,5.258101371,,,
A. Lange & Söhne 140.029,Next 30D,4.590394556,,,
A. Lange & Söhne 140.029,Next 30D,3.862834819,,,
A. Lange & Söhne 140.029,Next 30D,3.113310194,,,
A. Lange & Söhne 140.029,Next 30D,2.372077649,,,
A. Lange & Söhne 140.029,Next 30D,1.663145109,,,
A. Lange & Söhne 140.029,Next 30D,1.004094132,,,
A. Lange & Söhne 140.029,Next 30D,0.565390954,,,
A. Lange & Söhne 140.029,Next 30D,0.109358904,,,
A. Lange & Söhne 140.029,Next 30D,0.294094845,,,
A. Lange & Söhne 140.029,Next 30D,0.655007106,,,
A. Lange & Söhne 140.029,Next 30D,0.979185029,,,
A. Lange & Söhne 140.029,Next 30D,1.269297716,,,
A. Lange & Söhne 140.029,Next 30D,1.52621142,,,
A. Lange & Söhne 140.029,Next 30D,1.690673133,,,
A. Lange & Söhne 140.029,Next 30D,1.900369394,,,
A. Lange & Söhne 140.029,Next 30D,2.019223224,,,
A. Lange & Söhne 140.029,Next 30D,2.131260488,,,
A. Lange & Söhne 140.029,Next 30D,2.239270908,,,
A. Lange & Söhne 140.029,Next 30D,2.343160624,,,
A. Lange & Söhne 140.029,Next 30D,2.441214088,,,
A. Lange & Söhne 140.029,Next 30D,2.47477547,,,
A. Lange & Söhne 140.029,Next 30D,2.49879705,,,
A. Lange & Söhne 140.029,Next 30D,2.524738844,,,
A. Lange & Söhne 140.029,Next 30D,2.557837445,,,
A. Lange & Söhne 140.029,Next 30D,2.598545204,,,
A. Lange & Söhne 140.029,Next 30D,2.644669453,,,
A. Lange & Söhne 140.029,Next 30D,0.959210942,,,
A. Lange & Söhne 140.029,Next 30D,0.950652669,,,
A. Lange & Söhne 140.029,Next 30D,0.863268061,,,
A. Lange & Söhne 140.029,Next 30D,0.472014328,,,
A. Lange & Söhne 140.029,Next 30D,0.3875227,,,
A. Lange & Söhne 140.029,Next 30D,0.324152062,,,
A. Lange & Söhne 140.029,Next 30D,0.282996224,,,
A. Lange & Söhne 140.029,Next 90D,14.22422656,,,
