Date,Price,Open,High,Low,Change %
26-Aug-20,"3,171.46","3,171.46","3,171.46","3,171.46",0.92%
25-Aug-20,"3,142.58","3,142.58","3,142.58","3,142.58",0.23%
24-Aug-20,"3,135.29","3,135.29","3,135.29","3,135.29",1.75%
21-Aug-20,"3,081.43","3,081.43","3,081.43","3,081.43",0.61%
20-Aug-20,"3,062.89","3,062.89","3,062.89","3,062.89",-0.88%
19-Aug-20,"3,090.09","3,090.09","3,090.09","3,090.09",0.07%
18-Aug-20,"3,088.05","3,088.05","3,088.05","3,088.05",-0.19%
17-Aug-20,"3,094.05","3,094.05","3,094.05","3,094.05",1.21%
14-Aug-20,"3,057.00","3,057.00","3,057.00","3,057.00",-0.46%
13-Aug-20,"3,071.15","3,071.15","3,071.15","3,071.15",0.65%
12-Aug-20,"3,051.16","3,051.16","3,051.16","3,051.16",1.96%
11-Aug-20,"2,992.57","2,992.57","2,992.57","2,992.57",1.68%
10-Aug-20,"2,943.21","2,943.21","2,943.21","2,943.21",0.90%
07-Aug-20,"2,917.07","2,917.07","2,917.07","2,917.07",-0.17%
06-Aug-20,"2,922.03","2,922.03","2,922.03","2,922.03",-0.45%
05-Aug-20,"2,935.15","2,935.15","2,935.15","2,935.15",1.30%
04-Aug-20,"2,897.57","2,897.57","2,897.57","2,897.57",0.34%
03-Aug-20,"2,887.65","2,887.65","2,887.65","2,887.65",0.92%
31-Jul-20,"2,861.46","2,861.46","2,861.46","2,861.46",-1.76%
30-Jul-20,"2,912.59","2,912.59","2,912.59","2,912.59",-1.14%
29-Jul-20,"2,946.25","2,946.25","2,946.25","2,946.25",1.05%
28-Jul-20,"2,915.76","2,915.76","2,915.76","2,915.76",-1.66%
27-Jul-20,"2,965.09","2,965.09","2,965.09","2,965.09",2.32%
24-Jul-20,"2,897.86","2,897.86","2,897.86","2,897.86",-2.18%
23-Jul-20,"2,962.46","2,962.46","2,962.46","2,962.46",-0.94%
22-Jul-20,"2,990.64","2,990.64","2,990.64","2,990.64",-0.16%
21-Jul-20,"2,995.41","2,995.41","2,995.41","2,995.41",-0.08%
20-Jul-20,"2,997.83","2,997.83","2,997.83","2,997.83",1.63%
17-Jul-20,"2,949.62","2,949.62","2,949.62","2,949.62",-0.09%
16-Jul-20,"2,952.13","2,952.13","2,952.13","2,952.13",-1.57%
15-Jul-20,"2,999.08","2,999.08","2,999.08","2,999.08",2.61%
14-Jul-20,"2,922.85","2,922.85","2,922.85","2,922.85",0.14%
13-Jul-20,"2,918.71","2,918.71","2,918.71","2,918.71",0.04%
10-Jul-20,"2,917.53","2,917.53","2,917.53","2,917.53",3.02%
09-Jul-20,"2,831.99","2,831.99","2,831.99","2,831.99",-0.48%
08-Jul-20,"2,845.69","2,845.69","2,845.69","2,845.69",-0.24%
07-Jul-20,"2,852.42","2,852.42","2,852.42","2,852.42",-0.79%
06-Jul-20,"2,875.03","2,875.03","2,875.03","2,875.03",3.99%
03-Jul-20,"2,764.67","2,764.67","2,764.67","2,764.67",-0.31%
02-Jul-20,"2,773.31","2,773.31","2,773.31","2,773.31",2.63%
01-Jul-20,"2,702.25","2,702.25","2,702.25","2,702.25",0.65%
30-Jun-20,"2,684.90","2,684.90","2,684.90","2,684.90",1.72%
29-Jun-20,"2,639.60","2,639.60","2,639.60","2,639.60",1.92%
26-Jun-20,"2,589.93","2,589.93","2,589.93","2,589.93",-1.49%
25-Jun-20,"2,629.14","2,629.14","2,629.14","2,629.14",0.29%
24-Jun-20,"2,621.65","2,621.65","2,621.65","2,621.65",-3.64%
23-Jun-20,"2,720.70","2,720.70","2,720.70","2,720.70",1.51%
22-Jun-20,"2,680.30","2,680.30","2,680.30","2,680.30",-0.28%
19-Jun-20,"2,687.70","2,687.70","2,687.70","2,687.70",-0.61%
18-Jun-20,"2,704.10","2,704.10","2,704.10","2,704.10",-0.01%
17-Jun-20,"2,704.38","2,704.38","2,704.38","2,704.38",-0.23%
16-Jun-20,"2,710.60","2,710.60","2,710.60","2,710.60",1.74%
15-Jun-20,"2,664.33","2,664.33","2,664.33","2,664.33",0.05%
12-Jun-20,"2,662.88","2,662.88","2,662.88","2,662.88",-0.33%
11-Jun-20,"2,671.82","2,671.82","2,671.82","2,671.82",-5.60%
10-Jun-20,"2,830.46","2,830.46","2,830.46","2,830.46",0.33%
09-Jun-20,"2,821.25","2,821.25","2,821.25","2,821.25",-0.98%
08-Jun-20,"2,849.07","2,849.07","2,849.07","2,849.07",1.50%
05-Jun-20,"2,807.06","2,807.06","2,807.06","2,807.06",3.05%
04-Jun-20,"2,723.93","2,723.93","2,723.93","2,723.93",0.22%
03-Jun-20,"2,717.85","2,717.85","2,717.85","2,717.85",2.84%
02-Jun-20,"2,642.69","2,642.69","2,642.69","2,642.69",1.36%
01-Jun-20,"2,607.33","2,607.33","2,607.33","2,607.33",2.48%
29-May-20,"2,544.32","2,544.32","2,544.32","2,544.32",-0.69%
28-May-20,"2,561.88","2,561.88","2,561.88","2,561.88",0.43%
27-May-20,"2,550.94","2,550.94","2,550.94","2,550.94",2.18%
26-May-20,"2,496.59","2,496.59","2,496.59","2,496.59",3.23%
